Frame,AverageTremor
1.0,49.664020817239546
2.0,9.986855845887376
3.0,51.183395279753704
4.0,121.62852782597388
5.0,7.923124998381757
6.0,214.9174861454881
7.0,167.2572631972426
8.0,120.65137832575788
9.0,163.26111590860415
10.0,163.52912853573008
11.0,50.95787229121883
12.0,41.415102975993285
13.0,89.70744274609609
14.0,5.651858910174743
15.0,4.36232226938952
16.0,5.578282318061288
17.0,52.377294986578775
18.0,8.273360497801535
19.0,101.36099427568797
20.0,89.31762334809875
21.0,6.300618920181777
22.0,5.238708359270902
23.0,66.74504827072943
24.0,111.58944943472076
25.0,10.608860152518657
26.0,7.471458918526691
27.0,50.27737515337484
28.0,81.95797607213363
29.0,97.39051460810389
30.0,136.2284607657978
31.0,136.39543551989973
32.0,44.40932718094799
33.0,144.58678522675729
34.0,96.01093531350267
35.0,126.29809891777924
36.0,182.35774301021277
37.0,87.99976743901087
38.0,90.06132742155647
39.0,48.84563105463084
40.0,43.22550927229305
41.0,52.07655770638176
42.0,139.73946095940045
43.0,13.348471659500722
44.0,44.60585569413543
45.0,55.39761279093122
46.0,5.461922644985188
47.0,3.7180478235474057
48.0,8.943795892822214
49.0,255.5026656407537
50.0,74.71904740859425
51.0,142.48374899555068
52.0,100.64479114280891
53.0,47.51842748977201
54.0,195.4038212701218
55.0,44.43343138320982
56.0,94.01331814688425
57.0,139.9066240126402
58.0,107.66699298967565
59.0,203.47843823799246
60.0,58.279889742185745
61.0,47.69512466136807
62.0,7.358033490816439
63.0,90.07568002278796
64.0,100.41936699945715
65.0,99.84949659045432
66.0,11.538971861032138
67.0,7.82130355253879
68.0,9.11172517706162
69.0,8.217211563188279
70.0,129.527060721748
71.0,42.948182923731245
72.0,282.25582956557645
73.0,8.410829464388755
74.0,31.701319739170565
75.0,5.017568898352471
76.0,9.699986058185916
77.0,28.36261051389419
78.0,39.08130802233997
79.0,38.64390105230889
80.0,199.88680912183364
81.0,103.51041561068959
82.0,109.6665754390304
83.0,184.13971716738166
84.0,182.76332340037936
85.0,93.20277799419023
86.0,6.240494939562087
87.0,51.26174025497416
88.0,51.03852596925987
89.0,110.82094438439955
90.0,111.13808183957772
91.0,66.85659739571884
92.0,58.1230377932843
93.0,163.47646313464753
94.0,76.7278720430267
95.0,85.76371361796099
96.0,159.60289264175094
97.0,232.4392154363124
98.0,235.38983344263465
99.0,187.89945157353856
100.0,52.3359770481602
101.0,197.75388341283283
102.0,5.723434447497199
103.0,5.174183010602444
104.0,44.21376947108562
105.0,46.455289060135385
106.0,5.932252505031579
107.0,6.786812131090996
108.0,44.305372753610605
109.0,4.268396762248317
110.0,7.623957087488512
111.0,43.790634486161935
112.0,9.094241102903098
113.0,5.610616721899878
114.0,151.8991398042505
115.0,127.12663746476788
116.0,264.59312954139244
117.0,6.130098379445123
118.0,9.44359279403352
119.0,7.373659867970203
120.0,54.07854032766667
121.0,5.192501233249189
122.0,54.27189795752861
123.0,153.45942283223218
124.0,59.239117126162576
125.0,205.64952067382603
126.0,273.78705430674427
127.0,273.9164283151954
128.0,3.1776937449776312
129.0,99.73494625000922
130.0,174.83079288212198
131.0,136.60714285714286
132.0,41.47955962605941
133.0,4.241071428571429
134.0,52.653203017270684
135.0,81.62343471623623
136.0,88.93383996133514
137.0,92.07178920017817
138.0,52.47372183794456
139.0,4.124711755495329
140.0,94.37492894232707
141.0,104.72967883865492
142.0,51.53560118575185
